n,en,uri
6.3.1.1,Medical admission,MedicalAdmission
6.3.1.2,Decision making and patient information,DecisionMakingAndPatientInformation
6.3.1.4,Execution of operations,ExecutionOfOperations
6.3.1.5,Coding of diagnoses and procedures,CodingOfDiagnosesAndProcedures
6.3.1.6,Patient discharge and transfer to other institutions,PatientDischargeAndTransferToOtherInstitutions
6.3.2.1,Supply and disposal Management,SupplyAndDisposalManagement
6.3.2.2,Scheduling and resource allocation,SchedulingAndResourceAllocation
6.3.2.3,Work scheduling and time management,WorkSchedulingAndTimeManagement
,,
,,
,"
",