n,en,"uri
",super,supertype,synonyms
1.1.1,Transmit health event alerts to specific population group(s),WhoDhiTransmitHealthEventAlertsToSpecificPopulationGroups,TargetedClientCommunication,FeatureClassified,public health event notification;disease notification to specific or pre-identified populations;notification of health events to specific populations based on demographic characteristics;health promotion messaging 
1.1.2,Transmit targeted health information to client based on health status or demographics,WhoDhiTransmitTargetedHealthInformationToClientBasedOnHealthStatusOrDemographics,TargetedClientCommunication,FeatureClassified,health education;behavior change communication;health promotion communication;client-centered messaging;health communication based on a known client’s health status or clinical history 
1.1.3,Transmit targeted alerts and reminders to client(s),WhoDhiTransmitTargetedAlertsAndRemindersToClients,TargetedClientCommunication,FeatureClassified,"alerts for preventive services and wellness;notifications and reminders for appointments, medication adherence, or follow-up services;communication for retention in care;continuity of care "
1.1.4,"Transmit diagnostics result, or availability of result, to clients",WhoDhiTransmitDiagnosticsResultOrAvailabilityOfResultToClients,TargetedClientCommunication,FeatureClassified,laboratory results management;tests results management
1.2.1,Transmit untargeted health information to an undefined population,WhoDhiTransmitUntargetedHealthInformationToAnUndefinedPopulation,UntargetedClientCommunication,FeatureClassified,mass messaging campaign or communication to an undefined target group;health messaging to undefined target group regardless of demographic characteristics or health status
1.2.2,Transmit untargeted health event alerts to undefined group,WhoDhiTransmitUntargetedHealthEventAlertsToUndefinedGroup,UntargetedClientCommunication,FeatureClassified,public health event notification;disease notification;mass messaging campaign
1.3.1,Peer group for clients,WhoDhiPeerGroupForClients,ClientToClientCommunication,FeatureClassified,peer learning;peer group;peer-to-peer groups;peer network;peer support
1.4.1,Access by client to own medical records,WhoDhiAccessByClientToOwnMedicalRecords,PersonalHealthTracking,FeatureClassified,self-access to client health record;patient’s own access to their health record;ability for clients to track their health history
1.4.2,Self monitoring of health or diagnostic data by client,WhoDhiSelfMonitoringOfHealthOrDiagnosticDataByClient,PersonalHealthTracking,FeatureClassified,personal health monitoring;self-tracking;self-care;self-monitoring;sensors and wearables for personal health monitoring;client’s health data is collected based on a machine a client uses on their own
1.4.3,Active data capture/documentation by client,WhoDhiActiveDataCapturedocumentationByClient,PersonalHealthTracking,FeatureClassified,personal health monitoring;self-tracking;self-care;self-monitoring;journaling;capture patient originated data;client documentation of health status and activities  
1.5.1,Reporting of health system feedback by clients,WhoDhiReportingOfHealthSystemFeedbackByClients,CitizenBasedReporting,FeatureClassified,"public reporting on health system issues, such as the availability and quality of services received; interaction with health worker; satisfaction with services; accountability monitoring; accountability reporting; crowdsourced feedback; patient/client feedback; quality of care feedback "
1.5.2,Reporting of public health events by client,WhoDhiReportingOfPublicHealthEventsByClient,CitizenBasedReporting,FeatureClassified,surveillance notification; disease notification; client reporting
1.6.1,Client look-up of health information,WhoDhiClientLookupOfHealthInformation,OndemandInformationServicesToClients,FeatureClassified,client searches or looks up information on a health topic; decision support for clients 
1.7.1,Transmit or manage out of pocket payments by client,WhoDhiTransmitOrManageOutOfPocketPaymentsByClient,ClientFinancialTransactions,FeatureClassified,"mobile money payments directly made by client (this can include payments for any health services such as emergency transportation, health fees, etc)"
1.7.2,Transmit or manage vouchers to client for health services,WhoDhiTransmitOrManageVouchersToClientForHealthServices,ClientFinancialTransactions,FeatureClassified,"health voucher issuance (e.g. for mosquitonets, for transport, etc) and redemption services"
1.7.3,Transmit or manage incentives to clients for health services,WhoDhiTransmitOrManageIncentivesToClientsForHealthServices,ClientFinancialTransactions,FeatureClassified,cash transfers to clients conditional on health related behaviours