n,en,uri,super,supertype,synonyms
2.1.1,Verify client unique identity,VerifyClientUniqueIdentity,ClientIdentificationAndRegistration,FunctionClassified,biometrics; client registry
2.1.2,Enrol client for health services/clinical care plan,EnrolClientForHealthServicesclinicalCarePlan,ClientIdentificationAndRegistration,FunctionClassified,register client/patient for health services
,,,,FunctionClassified,
2.2.1,Longitudinal tracking of client’s health status and services,LongitudinalTrackingOfClientsHealthStatusAndServices,ClientHealthRecords,FunctionClassified,"domain-specific registers; eRegistries; eRegister; digital register; digital service record; immunization registry; digitized registers for longitudinal health program; including tracking of migrant populations’ benefits and health status; case management logs within specific target populations, including migrant populations"
2.2.2,Manage client's structured clinical records,ManageClientsStructuredClinicalRecords,ClientHealthRecords,FunctionClassified,clinical record of an individual with information that spans across multiple clinical domains; electronic medical record; personal health record
2.2.3,Manage client’s unstructured clinical records,ManageClientsUnstructuredClinicalRecords,ClientHealthRecords,FunctionClassified,"electronic medical record and personal health records with that are not based on structured data, and instead including notes, images, documents"
2.2.4,Routine health indicator data collection and management,RoutineHealthIndicatorDataCollectionAndManagement,ClientHealthRecords,FunctionClassified,data collection for Health Management Information System (HMIS); client health data collection
,,,,FunctionClassified,
2.3.1,Provide prompts and alerts based according to protocol,ProvidePromptsAndAlertsBasedAccordingToProtocol,HealthcareProviderDecisionSupport,FunctionClassified,"clinical decision support, job aid--linked to clients digital health record; provision of alerts for abnormal findings/lab values, “IF THEN statements” ;process algorithms to support service delivery according to care plans, guidelines, and protocols"
2.3.2,Provide checklist according to protocol,ProvideChecklistAccordingToProtocol,HealthcareProviderDecisionSupport,FunctionClassified,"job aid and assessment tools to support service delivery—may or may not be linked to a digital health record; decision trees to support service delivery according to care plans, guidelines, and protocols"
2.3.3,Screen clients by risk or other health status,ScreenClientsByRiskOrOtherHealthStatus,HealthcareProviderDecisionSupport,FunctionClassified,"tools for screening, risk assessment, triage and client prioritization; job aid to support service delivery according to care plans, guidelines, and protocols"
2.4.1,Consultations between remote client and healthcare provider,ConsultationsBetweenRemoteClientAndHealthcareProvider,Telemedicine,FunctionClassified,remote consultation; tele consultation; client based telemedicine; hotlines; call centers; helpline; real-time telemedicine; interactive telemedicine; synchronous telemedicine; client calls a health worker or hotline to receive clinical guidance on health issue
"2.4.2
",Remote monitoring of client health or diagnostic data by provider,RemoteMonitoringOfClientHealthOrDiagnosticDataByProvider,Telemedicine,FunctionClassified,telemonitoring; virtual monitoring; provider is able to monitor client’s health through an implanted sensor/diagnostic equipment
2.4.3,Transmission of medical data to healthcare provider,TransmissionOfMedicalDataToHealthcareProvider,Telemedicine,FunctionClassified,store and forward; asynchronous telemedicine
2.4.4,Consultations for case management between healthcare providers,ConsultationsForCaseManagementBetweenHealthcareProviders,Telemedicine,FunctionClassified,"inter-provider communication; closed usergroup; health worker to health worker communication; consulting other health care providers, particularly specialists, for patient case management; seeking second opinion for patient case management"
2.5.1,Communication from healthcare provider(s) to supervisor,CommunicationFromHealthcareProvidersToSupervisor,HealthcareProviderCommunication,FunctionClassified,
2.5.2,Communication and performance feedback to healthcare provider(s),CommunicationAndPerformanceFeedbackToHealthcareProviders,HealthcareProviderCommunication,EnterpriseFunctionClassified,supportive supervision; coaching/mentoring; audit and feedback; communication to healthcare provider based on their performance
2.5.3,Transmit routine news and workflow notifications to healthcare provider(s),TransmitRoutineNewsAndWorkflowNotificationsToHealthcareProviders,HealthcareProviderCommunication,EnterpriseFunctionClassified,alerts and reminders to healthcare provider; motivational communication healthcare provider; transmission of workflow updates to healthcare provider
2.5.4,Transmit non-routine health event alerts to healthcare providers,TransmitNonroutineHealthEventAlertsToHealthcareProviders,HealthcareProviderCommunication,EnterpriseFunctionClassified,public health related updates to health workers; emergency alerts to healthcare providers; mass messaging to healthcare providers
2.5.5,Peer group for healthcare providers,PeerGroupForHealthcareProviders,HealthcareProviderCommunication,EnterpriseFunctionClassified,peer support; peer learning; closed user groups; communication mechanisms for healthcare providers to discuss among themselves
2.6.1,Coordinate emergency response and transport,CoordinateEmergencyResponseAndTransport,ReferralCoordination,EnterpriseFunctionClassified,ambulance systems; emergency response management; care coordination
2.6.2,Manage referrals between points of service within health sector,ManageReferralsBetweenPointsOfServiceWithinHealthSector,ReferralCoordination,EnterpriseFunctionClassified,clinical task linking;referral management  
2.6.3,Manage referrals between health and other sectors,ManageReferralsBetweenHealthAndOtherSectors,ReferralCoordination,EnterpriseFunctionClassified,intersectoral referral management
2.7.1,Identify client(s) in need of services,IdentifyClientsInNeedOfServices,HealthWorkerActivityPlanningAndScheduling,EnterpriseFunctionClassified,automated scheduling of client’s health appointments 
2.7.2,Schedule healthcare provider's activities,ScheduleHealthcareProvidersActivities,HealthWorkerActivityPlanningAndScheduling,EnterpriseFunctionClassified,work planning;prioritization of daily activities/tasks;task management 
2.8.1,Provide training content to healthcare provider(s),ProvideTrainingContentToHealthcareProviders,HealthcareProviderTraining,EnterpriseFunctionClassified,"mLearning;eLearning;virtual learning;educational videos, multimedia learning and access to clinical guidance;training reinforcement and refreshers "
2.8.2,Assess capacity of healthcare provider,AssessCapacityOfHealthcareProvider,HealthcareProviderTraining,EnterpriseFunctionClassified,quizzes and and interactive exercises to assess knowledge and competence
2.9.1,Transmit or track prescription orders,TransmitOrTrackPrescriptionOrders,PrescriptionAndMedicationManagement,EnterpriseFunctionClassified,tracking medication orders;tools to place prescription orders or track the status of prescriptions and refills
2.9.2,Track client's medication consumption,TrackClientsMedicationConsumption,PrescriptionAndMedicationManagement,EnterpriseFunctionClassified,monitoring adherence to medications and drugs;monitoring/observing whether patients have taken their prescribed medications 
2.9.3,Report effects adverse drug,ReportEffectsAdverseDrug,PrescriptionAndMedicationManagement,EnterpriseFunctionClassified,"reporting contraindications, drug interactions, adverse effects"
2.10.1,Transmit to healthcare provider and track,TransmitToHealthcareProviderAndTrack,LaboratoryAndDiagnosticsImagingManangement,EnterpriseFunctionClassified,laboratory results management;tests results communication between healthcare providers
2.10.2,Transmit diagnostic orders diagnostic results,TransmitDiagnosticOrdersDiagnosticResults,LaboratoryAndDiagnosticsImagingManangement,EnterpriseFunctionClassified,laboratory test requisition and management
2.10.3,Capture from digital devices,CaptureFromDigitalDevices,LaboratoryAndDiagnosticsImagingManangement,EnterpriseFunctionClassified,point of care diagnostics;diagnostic accessories added to digital devices
2.10.4,Track biological specimens,TrackBiologicalSpecimens,LaboratoryAndDiagnosticsImagingManangement,EnterpriseFunctionClassified,tracking of blood donations